Name,Base,Sold,Team,Prev_team,Nationality,Role
COLIN DE GRANDHOMME,1,0,Nil,Nil,NA,NA
COLIN MUNRO,1.5,0,Nil,Nil,NA,NA
CORBIN BOSCH,0.2,0,Nil,Nil,NA,NA
CRAIG OVERTON,2,0,Nil,Nil,NA,NA
CURTIS CAMPHER,0.5,0,Nil,Nil,NA,NA
D FERREIRA,0.2,0,Nil,Nil,NA,NA
DANUSHKA GUNATHILAKA,0.5,0,Nil,Nil,NA,NA
D'ARCY SHORT,1,0,Nil,Nil,NA,NA
DARREN BRAVO,0.75,0,Nil,Nil,NA,NA
DARYN DUPAVILLON,0.5,0,Nil,Nil,NA,NA
DASUN SHANAKA,0.5,0,Nil,Nil,NA,NA
DAVID WIESE,0.5,0,Nil,Nil,NA,NA
DAWID MALAN,1.5,0,Nil,PBKS,NA,NA
DEV LAKRA,0.2,0,Nil,Nil,NA,NA
DHANANJAYA LAKSHAN,0.5,0,Nil,Nil,NA,NA
DHARMENDRASINH JADEJA,0.2,0,Nil,Nil,NA,NA
DHAWAL KULKARNI,0.75,0,Nil,MI,NA,NA
DHRUSHANT SONI,0.2,0,Nil,Nil,NA,NA
DHRUV PATEL,0.2,0,Nil,Nil,NA,NA
DHRUV SHOREY,0.2,0,Nil,Nil,NA,NA
DIKSHANSHU NEGI,0.2,0,Nil,Nil,NA,NA
DIVYANG HINGANEKAR,0.2,0,Nil,Nil,NA,NA
DIWESH PATHANIA,0.2,0,Nil,Nil,NA,NA
DUAN JANSEN,0.2,0,Nil,Nil,NA,NA
DUNITH WELLALAGE,0.2,0,Nil,Nil,NA,NA
EKNATH KERKAR,0.2,0,Nil,Nil,NA,NA
EOIN MORGAN,1.5,0,Nil,KKR,NA,NA
FAZIL RASHID,0.2,0,Nil,Nil,NA,NA
FIDEL EDWARDS,0.5,0,Nil,Nil,NA,NA
GANESHAN PERIYASWAMY,0.2,0,Nil,Nil,NA,NA
GARETH DELANY,0.5,0,Nil,Nil,NA,NA
GEORGE GARTON,0.5,0,Nil,RCB,NA,NA
GERALD COETZEE,0.2,0,Nil,RR,NA,NA
GIRINATH REDDY,0.2,0,Nil,Nil,NA,NA
GOWTHAM V,0.2,0,Nil,Nil,NA,NA
GULBADIN NAIB,0.5,0,Nil,Nil,NA,NA
GURNOOR BRAR,0.2,0,Nil,Nil,NA,NA
HAMID HASSAN,0.5,0,Nil,Nil,NA,NA
HAMISH BENNETT,0.5,0,Nil,Nil,NA,NA
HANUMA VIHARI,0.5,0,Nil,Nil,NA,NA
HARDIK TAMORE,0.2,0,Nil,Nil,NA,NA
HARISHANKAR REDDY,0.2,0,Nil,CSK,NA,NA
HARNOOR SINGH,0.2,0,Nil,Nil,NA,NA
HARPREET SINGH BHATIA,0.4,0,Nil,Nil,NA,NA
HARSH TYAGI,0.2,0,Nil,Nil,NA,NA
HARVIK DESAI,0.2,0,Nil,Nil,NA,NA
HASHMATULLAH SHAHIDI,0.5,0,Nil,Nil,NA,NA
HAYDEN KERR,0.2,0,Nil,Nil,NA,NA
HAYDEN WALSH,0.5,0,Nil,Nil,NA,NA
HAZRATULLAH ZAZAI,0.5,0,Nil,Nil,NA,NA
HEINRICH KLAASEN,0.5,0,Nil,Nil,NA,NA
HENAN NAZIR,0.2,0,Nil,Nil,NA,NA
HENRY SHIPLEY,0.2,0,Nil,Nil,NA,NA
HILTON CARTWRIGHT,0.5,0,Nil,Nil,NA,NA
HIMANSHU RANA,0.2,0,Nil,Nil,NA,NA
HIMMAT SINGH,0.2,0,Nil,Nil,NA,NA
HITEN DALAL,0.2,0,Nil,Nil,NA,NA
IMRAN TAHIR,2,0,Nil,CSK,NA,NA
ISH SODHI,0.5,0,Nil,Nil,NA,NA
ISHAN AFRIDI,0.2,0,Nil,Nil,NA,NA
ISHANK JAGGI,0.2,0,Nil,Nil,NA,NA
ISHANT SHARMA,1.5,0,Nil,DC,NA,NA
ISURU UDANA,0.5,0,Nil,Nil,NA,NA
IZHARULHAQ NAVEED,0.2,0,Nil,Nil,NA,NA
JACK WILDERMUTH,0.5,0,Nil,Nil,NA,NA
JAGATHEESAN KOUSIK,0.2,0,Nil,Nil,NA,NA
JAIDEEP BHAMBHU,0.2,0,Nil,Nil,NA,NA
JAKE LINTOTT,0.2,0,Nil,Nil,NA,NA
JAKE WEATHERALD,0.2,0,Nil,Nil,NA,NA
JALAJ SAXENA,0.3,0,Nil,PBKS,NA,NA
JAMES FAULKNER,1,0,Nil,Nil,NA,NA
JAMES VINCE,2,0,Nil,Nil,NA,NA
JANNEMAN MALAN,0.5,0,Nil,Nil,NA,NA
JASMER DHANKHAR,0.2,0,Nil,Nil,NA,NA
JASON SANGHA,0.2,0,Nil,Nil,NA,NA
JAY BISTA,0.2,0,Nil,Nil,NA,NA
JAYDEN SEALES,0.5,0,Nil,Nil,NA,NA
JITENDER PAL,0.2,0,Nil,Nil,NA,NA
JJ SMIT,0.2,0,Nil,Nil,NA,NA
JOEL PARIS,0.5,0,Nil,Nil,NA,NA
JOHAN VAN DYK,0.2,0,Nil,Nil,NA,NA
JON-RUSS JAGGESAR,0.2,0,Nil,Nil,NA,NA
JONTY SIDHU,0.2,0,Nil,Nil,NA,NA
JOSH LITTLE,0.5,0,Nil,Nil,NA,NA
JOSH PHILIPPE,1,0,Nil,RCB,NA,NA
KAIF AHMED,0.2,0,Nil,Nil,NA,NA
KANE RICHARDSON,1.5,0,Nil,RCB,NA,NA
KARIM JANAT,0.5,0,Nil,Nil,NA,NA
KARTIKEYA KAK,0.2,0,Nil,Nil,NA,NA
KAUSHAL TAMBE,0.2,0,Nil,Nil,NA,NA
KEDAR DEVDHAR,0.2,0,Nil,Nil,NA,NA
KEDAR JADHAV,1,0,Nil,SRH,NA,NA
KEEMO PAUL,0.75,0,Nil,Nil,NA,NA
KENNAR LEWIS,0.4,0,Nil,Nil,NA,NA
KESHAV MAHARAJ,0.5,0,Nil,Nil,NA,NA
KEVIN KOTHTHIGODA,0.2,0,Nil,Nil,NA,NA
KHIZER DAFEDAR,0.2,0,Nil,Nil,NA,NA
KHRIEVITSO KENSE,0.2,0,Nil,Nil,NA,NA
KHWEZI GUMEDE,0.2,0,Nil,Nil,NA,NA
KISHAN KUMAR,0.2,0,Nil,Nil,NA,NA
KRISHNAN SHRIJITH,0.2,0,Nil,Nil,NA,NA
KULWANT KHEJROLIYA,0.2,0,Nil,Nil,NA,NA
KUMAR KARTIKEYA,0.2,0,Nil,Nil,NA,NA
KURTIS PATTERSON,0.5,0,Nil,Nil,NA,NA
KUSAL MENDIS,0.5,0,Nil,Nil,NA,NA
KUSAL PERERA,0.5,0,Nil,Nil,NA,NA
KUSHAL WADHWANI,0.2,0,Nil,Nil,NA,NA
KV SASIKANTH,0.2,0,Nil,Nil,NA,NA
LAHIRU KUMARA,0.5,0,Nil,Nil,NA,NA
LAKHAN RAJA,0.2,0,Nil,Nil,NA,NA
LALIT YADAV,0.2,0,Nil,Nil,NA,NA
LANCE MORRIS,0.2,0,Nil,Nil,NA,NA
LAURIE EVANS,0.4,0,Nil,Nil,NA,NA
LEWIS GREGORY,1.5,0,Nil,Nil,NA,NA
LIAM GUTHRIE,0.2,0,Nil,Nil,NA,NA
LIAM HATCHER,0.2,0,Nil,Nil,NA,NA
LITON DAS,0.5,0,Nil,Nil,NA,NA
LUKMAN MERIWALA,0.2,0,Nil,DC,NA,NA
M MOHAMMED,0.2,0,Nil,Nil,NA,NA
M VENKATESH,0.2,0,Nil,Nil,NA,NA
