Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Chennai Super Kings,M Vijay,2019,2,2,0,64,2,32,61,104.91,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,20000000
Kings XI Punjab,M Vohra,2016,7,7,0,161,2,23,131,122.9,0,1,1,19,3,0,0,0,0,0,0,0,0,0,0,3,0,15000000
Kings XI Punjab,M Vohra,2017,11,9,0,229,2,25.44,159,144.02,0,1,0,23,9,0,0,0,0,0,0,0,0,0,0,2,0,15000000
Royal Challengers Bangalore,M Vohra,2018,4,4,0,55,2,13.75,47,117.02,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,11000000
Delhi Daredevils,MA Agarwal,2016,3,3,0,27,2,9,25,108,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,15000000
Rising Pune Supergiant,MA Agarwal,2017,3,3,0,26,2,8.66,27,96.29,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000
Kings XI Punjab,MA Agarwal,2018,11,11,1,120,2,12,94,127.65,0,0,1,9,5,0,0,0,0,0,0,0,0,0,0,2,0,10000000
Kings XI Punjab,MA Agarwal,2019,13,13,0,332,2,25.53,234,141.88,0,2,1,26,14,0,0,0,0,0,0,0,0,0,0,7,0,50000000
Chennai Super Kings,MA Wood,2018,1,1,0,1,2,1,3,33.33,0,0,0,0,0,1,4,0,49,0,0,12.25,0,0,0,1,0,15000000
Royal Challengers Bangalore,Mandeep Singh,2016,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000000
Royal Challengers Bangalore,Mandeep Singh,2017,11,10,0,188,2,18.8,177,106.21,0,1,2,21,4,0,0,0,0,0,0,0,0,0,0,6,0,14000000
Royal Challengers Bangalore,Mandeep Singh,2018,14,13,3,252,2,25.2,186,135.48,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,4,0,14000000
Kings XI Punjab,Mandeep Singh,2019,13,12,8,165,2,41.25,120,137.5,0,0,1,10,4,2,2,0,26,0,0,13,0,0,0,4,0,11000000
Sunrisers Hyderabad,MC Henriques,2016,17,15,3,182,2,15.16,158,115.18,0,0,1,15,6,17,52,0,415,12,34.58,7.98,26,0,0,11,0,10000000
Sunrisers Hyderabad,MC Henriques,2017,12,11,5,277,2,46.16,203,136.45,0,3,0,28,4,12,24,0,248,1,248,10.33,144,0,0,5,0,10000000
Kings XI Punjab,MG Johnson,2016,3,3,1,5,2,2.5,14,35.71,0,0,0,0,0,3,11,0,106,2,53,9.63,33,0,0,1,0,20000000
Mumbai Indians,MG Johnson,2017,5,3,3,20,2,0,17,117.64,0,0,0,1,1,5,20,1,141,7,20.14,7.05,17.1,0,0,1,0,20000000
Kolkata Knight Riders,MG Johnson,2018,6,2,2,16,2,0,11,145.45,0,0,0,2,0,6,21,0,216,2,108,10.28,63,0,0,2,0,20000000
Mumbai Indians,MJ Guptill,2016,3,3,0,57,2,19,55,103.63,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5000000
Kings XI Punjab,MJ Guptill,2017,7,7,1,132,2,22,88,150,0,1,1,17,5,0,0,0,0,0,0,0,0,0,0,6,0,5000000
Sunrisers Hyderabad,MJ Guptill,2019,3,3,0,81,2,27,53,152.83,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,10000000
Kings XI Punjab,MJ Henry,2017,2,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,71,1,71,14.2,30,0,0,0,0,5000000
Mumbai Indians,MJ McClenaghan,2016,14,5,2,34,2,11.33,23,147.82,0,0,0,2,3,14,53.2,0,436,17,25.64,8.17,18.8,1,0,0,0,5000000
Mumbai Indians,MJ McClenaghan,2017,14,7,3,16,2,4,15,106.66,0,0,2,0,1,14,54,0,507,19,26.68,9.38,17,0,0,1,0,5000000
Mumbai Indians,MJ McClenaghan,2018,11,5,3,11,2,5.5,10,110,0,0,2,1,1,11,40,0,332,14,23.71,8.3,17.1,0,0,0,0,5000000
Mumbai Indians,MJ McClenaghan,2019,5,4,1,11,2,3.66,16,68.75,0,0,1,2,0,5,18,1,142,3,47.33,7.88,36,0,0,0,0,5000000
Chennai Super Kings,MJ Santner,2019,4,2,1,32,2,32,23,139.13,0,0,0,0,3,4,14,0,94,4,23.5,6.71,21,0,0,1,0,19000000
Rajasthan Royals,MK Lomror,2018,2,2,1,20,2,20,21,95.23,0,0,0,1,0,2,3,0,27,0,0,9,0,0,0,0,0,2000000
Rajasthan Royals,MK Lomror,2019,2,1,0,8,2,8,3,266.66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,9500000
Kolkata Knight Riders,MK Pandey,2016,12,11,3,248,2,31,183,135.51,0,2,1,17,9,0,0,0,0,0,0,0,0,0,0,7,0,40000000
Kolkata Knight Riders,MK Pandey,2017,14,13,5,396,2,49.5,308,128.57,0,2,0,28,12,0,0,0,0,0,0,0,0,0,0,8,0,40000000
Sunrisers Hyderabad,MK Pandey,2018,15,13,2,284,2,25.81,246,115.44,0,3,1,22,5,0,0,0,0,0,0,0,0,0,0,9,0,110000000
Sunrisers Hyderabad,MK Pandey,2019,12,11,3,344,2,43,263,130.79,0,3,0,34,6,0,0,0,0,0,0,0,0,0,0,7,0,46000000
Rising Pune Supergiant,MK Tiwary,2017,15,13,3,324,2,32.4,236,137.28,0,2,1,31,11,0,0,0,0,0,0,0,0,0,0,6,0,10000000
Kings XI Punjab,MK Tiwary,2018,5,4,1,47,2,15.66,44,106.81,0,0,0,4,1,1,1,0,10,0,0,10,0,0,0,4,0,10000000
Royal Challengers Bangalore,MM Ali,2018,5,4,0,77,2,19.25,46,167.39,0,1,0,4,6,5,13.1,0,97,3,32.33,7.36,26.3,0,0,2,0,17000000
Royal Challengers Bangalore,MM Ali,2019,11,10,2,220,2,27.5,133,165.41,0,2,0,16,17,9,25,0,169,6,28.16,6.76,25,0,0,1,0,50000000
Gujarat Lions,MM Patel,2017,2,1,0,0,2,0,1,0,0,0,1,0,0,2,7,0,57,1,57,8.14,42,0,0,0,0,3000000
Kings XI Punjab,MM Sharma,2016,14,6,2,32,2,8,26,123.07,0,0,0,3,1,14,48.3,0,407,13,31.3,8.39,22.3,0,0,3,0,65000000
Kings XI Punjab,MM Sharma,2017,14,7,1,51,2,8.5,50,102,0,0,0,3,1,14,45.4,0,410,13,31.53,8.97,21,0,0,3,0,24000000
Kings XI Punjab,MM Sharma,2018,9,4,3,10,2,10,13,76.92,0,0,0,1,0,9,29.4,0,322,7,46,10.85,25.4,0,0,2,0,50000000
Chennai Super Kings,MM Sharma,2019,1,1,1,0,2,0,2,0,0,0,0,0,0,1,3,0,27,1,27,9,18,0,0,0,0,5000000
Delhi Daredevils,MN Samuels,2017,5,4,0,29,2,7.25,31,93.54,0,0,1,1,2,2,3,0,34,0,0,11.33,0,0,0,1,0,10000000
Sunrisers Hyderabad,Mohammad Nabi,2017,3,1,0,2,2,2,3,66.66,0,0,0,0,0,3,11,0,58,2,29,5.27,33,0,0,0,0,3000000
Sunrisers Hyderabad,Mohammad Nabi,2018,2,2,0,18,2,9,12,150,0,0,0,3,0,2,5,0,47,1,47,9.4,30,0,0,0,0,10000000
Sunrisers Hyderabad,Mohammad Nabi,2019,8,7,1,115,2,19.16,76,151.31,0,0,0,8,7,8,29.1,0,194,8,24.25,6.65,21.8,1,0,6,0,10000000
