Player,Role,Team,Year,Player Origin,Amt,Amt_inf
K.C. Cariappa,Bowler,Kings XI Punjab,2016,Indian,0.8,1.0557
Kane Richardson,Bowler,Royal Challengers Bangalore,2016,Overseas,2,2.6392
Karun Nair,Batsman,Delhi Daredevils,2016,Indian,4,5.2783
Kevin Pietersen,Batsman,Rising Pune Supergiant,2016,Overseas,3.5,4.6185
Kishore Pramod Kamath,All-Rounder,Mumbai Indians,2016,Indian,1.4,1.8474
Krunal Pandya,All-Rounder,Mumbai Indians,2016,Indian,2,2.6392
Kyle Abbott,Bowler,Kings XI Punjab,2016,Overseas,2.1,2.7711
M. Ashwin,Bowler,Rising Pune Supergiant,2016,Indian,4.5,5.9381
Mahipal Lomror,All-Rounder,Delhi Daredevils,2016,Indian,0.1,0.132
Manan Ajay Sharma,All-Rounder,Kolkata Knight Riders,2016,Indian,0.1,0.132
Marcus Stoinis,All-Rounder,Kings XI Punjab,2016,Overseas,0.55,0.7258
Mitchell Marsh,All-Rounder,Rising Pune Supergiant,2016,Overseas,4.8,6.334
Mohit Sharma,Bowler,Kings XI Punjab,2016,Indian,6.5,8.5773
Mustafizur Rahman,Bowler,Sunrisers Hyderabad,2016,Overseas,1.4,1.8474
Nathu Singh,Bowler,Mumbai Indians,2016,Indian,3.2,4.2227
Paras Dogra,Batsman,Gujarat Lions,2016,Indian,0.1,0.132
Pardeep Sahu,All-Rounder,Kings XI Punjab,2016,Indian,0.1,0.132
Pawan Negi,All-Rounder,Delhi Daredevils,2016,Indian,8.5,11.2165
Pawan Suyal,Bowler,Delhi Daredevils,2016,Indian,0.1,0.132
Peter Handscomb,Wicket Keeper,Rising Pune Supergiant,2016,Overseas,0.3,0.3959
Pradeep Sangwan,All-Rounder,Gujarat Lions,2016,Indian,0.2,0.2639
Pratyush Singh,All-Rounder,Delhi Daredevils,2016,Indian,0.1,0.132
Praveen Dubey,All-Rounder,Royal Challengers Bangalore,2016,Indian,0.35,0.4619
